year,Name,Rank,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2011,Purdue University West Lafayette,106,,,,,,56.2,57.0,67.8,43.9,-,62.6
2011,Queen Mary University of London,120,,,,,,54.6,39.7,44.1,73.5,38.9,91.0
2011,RWTH Aachen University,182,,,,,,48.2,50.0,42.5,48.9,56.6,63.8
2011,Rensselaer Polytechnic Institute,104,,,,,,56.4,50.5,54.6,64.9,-,48.0
2011,Rice University,47,,,,,,66.9,57.4,50.6,99.1,29.2,31.2
2011,"Royal Holloway, University of London",88,,,,,,57.9,37.7,36.2,93.2,30.5,92.9
2011,Rutgers University–New Brunswick,105,,,,,,56.3,53.4,64.7,55.7,-,26.8
2011,Seoul National University,109,,,,,,56.0,62.3,54.1,54.6,43.0,44.9
2011,Simon Fraser University,199,,,,,,46.2,32.9,44.2,60.2,37.9,51.9
2011,Stanford University,4,,,,,,94.3,98.3,98.1,99.2,64.3,29.5
2011,Stockholm University,129,,,,,,54.0,36.9,49.2,75.9,31.7,-
2011,Stony Brook University,78,,,,,,59.6,48.5,43.6,85.8,-,52.2
2011,Sun Yat-sen University,171,,,,,,49.6,46.2,34.7,70.2,41.2,29.3
2011,Swedish University of Agricultural Sciences,199,,,,,,46.2,43.3,49.5,41.7,99.9,-
2011,Technical University of Denmark,122,,,,,,54.5,46.2,46.9,64.6,95.5,64.0
2011,Technical University of Munich,101,,,,,,56.9,50.4,43.2,71.2,-,85.3
2011,The Hong Kong Polytechnic University,149,,,,,,51.4,39.4,45.7,62.4,57.2,82.9
2011,The Hong Kong University of Science and Technology,41,,,,,,69.0,50.4,51.8,98.2,64.1,97.4
2011,The University of Chicago,12,,,,,,86.9,79.1,87.9,96.9,-,62.8
2011,The University of Osaka,130,,,,,,53.4,61.7,63.4,40.0,73.4,20.1
2011,The University of Queensland,81,,,,,,59.1,51.8,53.4,69.0,57.1,74.2
2011,The University of Sydney,71,,,,,,61.2,49.8,61.9,64.3,90.8,89.6
2011,The University of Tokyo,26,,,,,,75.6,87.7,91.9,58.1,-,18.4
2011,Tohoku University,132,,,,,,53.3,60.3,62.5,41.2,82.3,20.1
2011,Tokyo Institute of Technology,112,,,,,,55.4,62.9,63.4,45.5,60.5,24.8
2011,Trinity College Dublin,76,,,,,,60.3,47.7,45.3,84.4,31.6,84.2
2011,Tsinghua University,58,,,,,,64.2,74.9,66.6,52.7,97.8,43.0
2011,Tufts University,53,,,,,,65.2,64.1,52.3,83.9,-,28.3
2011,UCL,22,,,,,,78.4,74.0,81.6,80.6,39.0,90.8
2011,UNSW Sydney,152,,,,,,51.2,49.5,48.9,51.2,60.0,70.7
2011,University College Dublin,94,,,,,,57.5,42.4,36.6,86.3,-,87.0
2011,University of Aberdeen,149,,,,,,51.4,37.8,45.2,64.6,47.0,86.1
2011,University of Adelaide,73,,,,,,60.7,46.5,38.8,90.5,52.7,87.5
2011,University of Alberta,127,,,,,,54.3,53.7,58.0,49.7,44.5,71.6
2011,University of Amsterdam,165,,,,,,50.0,42.5,49.2,60.2,38.8,38.2
2011,University of Arizona,95,,,,,,57.3,52.4,52.2,70.1,84.2,21.9
2011,University of Auckland,145,,,,,,51.8,34.8,39.2,71.8,61.1,94.3
2011,University of Barcelona,142,,,,,,52.1,34.1,33.7,91.9,30.0,22.3
2011,University of Basel,95,,,,,,57.3,50.2,37.1,78.3,45.8,91.3
2011,University of Bergen,135,,,,,,52.7,39.9,42.1,73.1,41.5,66.6
2011,University of Birmingham,145,,,,,,51.8,50.3,50.7,52.1,34.8,73.8
2011,University of Bonn,178,,,,,,48.5,46.8,33.8,65.3,29.4,46.8
2011,University of Bristol,68,,,,,,61.4,49.6,53.1,80.9,36.2,67.2
2011,University of British Columbia,30,,,,,,73.8,65.1,74.8,80.3,42.6,93.3
2011,"University of California, Berkeley",8,,,,,,91.1,84.2,99.3,97.8,-,39.6
2011,"University of California, Davis",54,,,,,,65.0,57.3,70.7,68.8,48.0,60.5
2011,"University of California, Irvine",49,,,,,,66.0,49.4,54.7,91.6,-,66.3
2011,"University of California, Los Angeles",11,,,,,,87.7,83.0,92.9,93.2,-,48.1
2011,"University of California, Riverside",117,,,,,,55.1,38.6,47.4,78.3,30.5,63.0
